tree,K,distribution,iteration,size,insert,lookup,remove
16std::set,16,uniform,6,32,321.875,23.92,162.5
16std::set,16,uniform,6,64,151.562,33.84,126.562
16std::set,16,uniform,6,128,96.875,42.98,100.781
16std::set,16,uniform,6,256,94.9219,37,90.625
16std::set,16,uniform,6,512,110.156,41.87,86.9141
16std::set,16,uniform,6,1024,101.855,50.35,90.625
16std::set,16,uniform,6,2048,107.91,59.69,136.377
16std::set,16,uniform,6,4096,130.054,75.71,101.807
16std::set,16,uniform,6,8192,110.876,89.52,115.027
16std::set,16,uniform,6,16384,131.549,114.73,148.993
16std::set,16,uniform,7,32,156.25,18.9,131.25
16std::set,16,uniform,7,64,114.062,23.46,107.812
16std::set,16,uniform,7,128,96.875,29.34,98.4375
16std::set,16,uniform,7,256,92.1875,36.46,90.2344
16std::set,16,uniform,7,512,86.1328,42.39,90.2344
16std::set,16,uniform,7,1024,99.4141,50.67,90.332
16std::set,16,uniform,7,2048,93.3105,60.23,94.873
16std::set,16,uniform,7,4096,100.317,69.62,132.373
16std::set,16,uniform,7,8192,114.355,89.78,142.773
16std::set,16,uniform,7,16384,152.74,115.3,139.575
16std::set,16,uniform,8,32,140.625,19.75,128.125
16std::set,16,uniform,8,64,110.938,28.23,104.688
16std::set,16,uniform,8,128,96.0938,33.34,99.2188
16std::set,16,uniform,8,256,90.625,40.89,92.9688
16std::set,16,uniform,8,512,87.3047,42.25,90.2344
16std::set,16,uniform,8,1024,139.258,60.53,175.195
16std::set,16,uniform,8,2048,105.859,66.58,109.961
16std::set,16,uniform,8,4096,100.195,69.28,101.221
16std::set,16,uniform,8,8192,111.804,89.64,119.629
16std::set,16,uniform,8,16384,131.934,118.54,153.491
16std::set,16,uniform,9,32,168.75,19.58,131.25
16std::set,16,uniform,9,64,107.812,23.38,109.375
16std::set,16,uniform,9,128,93.75,29.69,97.6562
16std::set,16,uniform,9,256,87.5,35.75,89.0625
16std::set,16,uniform,9,512,86.9141,42.37,91.2109
16std::set,16,uniform,9,1024,88.6719,50.13,91.4062
16std::set,16,uniform,9,2048,93.3594,59.95,95.2637
16std::set,16,uniform,9,4096,107.178,88.99,102.319
16std::set,16,uniform,9,8192,115.002,89.41,115.955
16std::set,16,uniform,9,16384,163.94,122.92,140.07
16std::set,16,cluster,0,32,128.125,6.13,93.75
16std::set,16,cluster,0,64,81.25,7.72,64.0625
16std::set,16,cluster,0,128,58.5938,15.14,53.9062
16std::set,16,cluster,0,256,52.3438,16.85,44.9219
16std::set,16,cluster,0,512,52.5391,19.09,44.3359
16std::set,16,cluster,0,1024,50.293,22.09,41.5039
16std::set,16,cluster,0,2048,56.0547,20.45,44.9219
16std::set,16,cluster,0,4096,65.1855,27.44,56.5674
16std::set,16,cluster,0,8192,69.9219,40.07,47.9248
16std::set,16,cluster,0,16384,63.1104,74.09,64.3433
16std::set,16,cluster,1,32,125,2.56,90.625
16std::set,16,cluster,1,64,81.25,20.08,67.1875
16std::set,16,cluster,1,128,79.6875,6.71,46.0938
16std::set,16,cluster,1,256,55.0781,6.13,38.2812
16std::set,16,cluster,1,512,96.0938,9.94,44.7266
